X,pclass,sex,sibsp,parch,fare,age
1,0,3,1,1,0,7.25,22
2,1,1,0,1,0,71.2833,38
3,2,3,0,0,0,7.925,26
4,3,1,0,1,0,53.1,35
5,4,3,1,0,0,8.05,35
6,5,3,1,0,0,8.4583,45.0304309259091
7,6,1,1,0,0,51.8625,54
8,7,3,1,3,1,21.075,2
9,8,3,0,0,2,11.1333,27
10,9,2,0,1,0,30.0708,14
11,10,3,0,1,1,16.7,4
12,11,1,0,0,0,26.55,58
13,12,3,1,0,0,8.05,20
14,13,3,1,1,5,31.275,39
15,14,3,0,0,0,7.8542,14
16,15,2,0,0,0,16,55
17,16,3,1,4,1,29.125,2
18,17,2,1,0,0,13,29.1698535297466
19,18,3,0,1,0,18,31
20,19,3,0,0,0,7.225,11.0989972397683
21,20,2,1,0,0,26,35
22,21,2,1,0,0,13,34
23,22,3,0,0,0,8.0292,15
24,23,1,1,0,0,35.5,28
25,24,3,0,3,1,21.075,8
26,25,3,0,1,5,31.3875,38
27,26,3,1,0,0,7.225,9.19906862029676
28,27,1,1,3,2,263,19
29,28,3,0,0,0,7.8792,22.034238208815
30,29,3,1,0,0,7.8958,11.00139144945
31,30,1,1,0,0,27.7208,40
32,31,1,0,1,0,146.5208,101.777116998581
33,32,3,0,0,0,7.75,39.8471473028474
34,33,2,1,0,0,10.5,66
35,34,1,1,1,0,82.1708,28
36,35,1,1,1,0,52,42
37,36,3,1,0,0,7.2292,35.904050035749
38,37,3,1,0,0,8.05,21
39,38,3,0,2,0,18,18
40,39,3,0,1,0,11.2417,14
41,40,3,0,1,0,9.475,40
42,41,2,0,1,0,21,27
43,42,3,1,0,0,7.8958,44.1849638590869
44,43,2,0,1,2,41.5792,3
45,44,3,0,0,0,7.8792,19
46,45,3,1,0,0,8.05,45.8369936972578
47,46,3,1,1,0,15.5,72.9448363417094
48,47,3,0,0,0,7.75,19.0473897677564
49,48,3,1,2,0,21.6792,81.3187270908139
50,49,3,0,1,0,17.8,18
51,50,3,1,4,1,39.6875,7
52,51,3,1,0,0,7.8,21
53,52,1,0,1,0,76.7292,49
54,53,2,0,1,0,26,29
55,54,1,1,0,1,61.9792,65
56,55,1,1,0,0,35.5,37.2808177937902
57,56,2,0,0,0,10.5,21
58,57,3,1,0,0,7.2292,28.5
59,58,2,0,1,2,27.75,5
60,59,3,1,5,2,46.9,11
61,60,3,1,0,0,7.2292,22
62,61,1,0,0,0,80,38
63,62,1,1,1,0,83.475,45
64,63,3,1,3,2,27.9,4
65,64,1,1,0,0,27.7208,25.7140440674758
66,65,3,1,1,1,15.2458,34.8793716088373
67,66,2,0,0,0,10.5,29
68,67,3,1,0,0,8.1583,19
69,68,3,0,4,2,7.925,17
70,69,3,1,2,0,8.6625,26
71,70,2,1,0,0,10.5,32
72,71,3,0,5,2,46.9,16
73,72,2,1,0,0,73.5,21
74,73,3,1,1,0,14.4542,26
75,74,3,1,0,0,56.4958,32
76,75,3,1,0,0,7.65,25
77,76,3,1,0,0,7.8958,12.7088413447095
78,77,3,1,0,0,8.05,13.719485359003
79,78,2,1,0,2,29,0.83
80,79,3,0,0,0,12.475,30
81,80,3,1,0,0,9,22
82,81,3,1,0,0,9.5,29
83,82,3,0,0,0,7.7875,47.2982322312421
84,83,1,1,0,0,47.1,28
85,84,2,0,0,0,10.5,17
86,85,3,0,3,0,15.85,33
87,86,3,1,1,3,34.375,16
88,87,3,1,0,0,8.05,10.4168852462158
89,88,1,0,3,2,263,23
90,89,3,1,0,0,8.05,24
91,90,3,1,0,0,8.05,29
92,91,3,1,0,0,7.8542,20
93,92,1,1,1,0,61.175,46
94,93,3,1,1,2,20.575,26
95,94,3,1,0,0,7.25,59
96,95,3,1,0,0,8.05,47.8339028523983
97,96,1,1,0,0,34.6542,71
98,97,1,1,0,1,63.3583,23
99,98,2,0,0,1,23,34
100,99,2,1,1,0,26,34
101,100,3,0,0,0,7.8958,28
102,101,3,1,0,0,7.8958,76.2598034965948
103,102,1,1,0,1,77.2875,21
104,103,3,1,0,0,8.6542,33
105,104,3,1,2,0,7.925,37
106,105,3,1,0,0,7.8958,28
107,106,3,0,0,0,7.65,21
108,107,3,1,0,0,7.775,34.7174423059483
109,108,3,1,0,0,7.8958,38
110,109,3,0,1,0,24.15,17.2974215385917
111,110,1,1,0,0,52,47
112,111,3,0,1,0,14.4542,14.5
113,112,3,1,0,0,8.05,22
114,113,3,0,1,0,9.825,20
115,114,3,0,0,0,14.4583,17
116,115,3,1,0,0,7.925,21
117,116,3,1,0,0,7.75,70.5
118,117,2,1,1,0,21,29
119,118,1,1,0,1,247.5208,24
120,119,3,0,4,2,31.275,2
121,120,2,1,2,0,73.5,21
122,121,3,1,0,0,8.05,45.5563453450877
123,122,2,1,1,0,30.0708,32.5
124,123,2,0,0,0,13,32.5
125,124,1,1,0,1,77.2875,54
126,125,3,1,1,0,11.2417,12
127,126,3,1,0,0,7.75,38.382847808755
128,127,3,1,0,0,7.1417,24
129,128,3,0,1,1,22.3583,11.7556941678341
130,129,3,1,0,0,6.975,45
131,130,3,1,0,0,7.8958,33
132,131,3,1,0,0,7.05,20
