,pclass,sex,sibsp,parch,fare,age
0,3,1,1,0,7.25,22.0
1,1,0,1,0,71.283299999999997,38.0
2,3,0,0,0,7.9249999999999998,26.0
3,1,0,1,0,53.100000000000001,35.0
4,3,1,0,0,8.0500000000000007,35.0
5,3,1,0,0,8.4582999999999995,
6,1,1,0,0,51.862499999999997,54.0
7,3,1,3,1,21.074999999999999,2.0
8,3,0,0,2,11.1333,27.0
9,2,0,1,0,30.070799999999998,14.0
10,3,0,1,1,16.699999999999999,4.0
11,1,0,0,0,26.550000000000001,58.0
12,3,1,0,0,8.0500000000000007,20.0
13,3,1,1,5,31.274999999999999,39.0
14,3,0,0,0,7.8541999999999996,14.0
15,2,0,0,0,16.0,55.0
16,3,1,4,1,29.125,2.0
17,2,1,0,0,13.0,
18,3,0,1,0,18.0,31.0
19,3,0,0,0,7.2249999999999996,
20,2,1,0,0,26.0,35.0
21,2,1,0,0,13.0,34.0
22,3,0,0,0,8.0291999999999994,15.0
23,1,1,0,0,35.5,28.0
24,3,0,3,1,21.074999999999999,8.0
25,3,0,1,5,31.387499999999999,38.0
26,3,1,0,0,7.2249999999999996,
27,1,1,3,2,263.0,19.0
28,3,0,0,0,7.8792,
29,3,1,0,0,7.8958000000000004,
30,1,1,0,0,27.720800000000001,40.0
31,1,0,1,0,146.52080000000001,
32,3,0,0,0,7.75,
33,2,1,0,0,10.5,66.0
34,1,1,1,0,82.1708,28.0
35,1,1,1,0,52.0,42.0
36,3,1,0,0,7.2291999999999996,
37,3,1,0,0,8.0500000000000007,21.0
38,3,0,2,0,18.0,18.0
39,3,0,1,0,11.2417,14.0
40,3,0,1,0,9.4749999999999996,40.0
41,2,0,1,0,21.0,27.0
42,3,1,0,0,7.8958000000000004,
43,2,0,1,2,41.5792,3.0
44,3,0,0,0,7.8792,19.0
45,3,1,0,0,8.0500000000000007,
46,3,1,1,0,15.5,
47,3,0,0,0,7.75,
48,3,1,2,0,21.679200000000002,
49,3,0,1,0,17.800000000000001,18.0
50,3,1,4,1,39.6875,7.0
51,3,1,0,0,7.7999999999999998,21.0
52,1,0,1,0,76.729200000000006,49.0
53,2,0,1,0,26.0,29.0
54,1,1,0,1,61.979199999999999,65.0
55,1,1,0,0,35.5,
56,2,0,0,0,10.5,21.0
57,3,1,0,0,7.2291999999999996,28.5
58,2,0,1,2,27.75,5.0
59,3,1,5,2,46.899999999999999,11.0
60,3,1,0,0,7.2291999999999996,22.0
61,1,0,0,0,80.0,38.0
62,1,1,1,0,83.474999999999994,45.0
63,3,1,3,2,27.899999999999999,4.0
64,1,1,0,0,27.720800000000001,
65,3,1,1,1,15.245799999999999,
66,2,0,0,0,10.5,29.0
67,3,1,0,0,8.1583000000000006,19.0
68,3,0,4,2,7.9249999999999998,17.0
69,3,1,2,0,8.6624999999999996,26.0
70,2,1,0,0,10.5,32.0
71,3,0,5,2,46.899999999999999,16.0
72,2,1,0,0,73.5,21.0
73,3,1,1,0,14.4542,26.0
74,3,1,0,0,56.495800000000003,32.0
75,3,1,0,0,7.6500000000000004,25.0
76,3,1,0,0,7.8958000000000004,
77,3,1,0,0,8.0500000000000007,
78,2,1,0,2,29.0,0.82999999999999996
79,3,0,0,0,12.475,30.0
80,3,1,0,0,9.0,22.0
81,3,1,0,0,9.5,29.0
82,3,0,0,0,7.7874999999999996,
83,1,1,0,0,47.100000000000001,28.0
84,2,0,0,0,10.5,17.0
85,3,0,3,0,15.85,33.0
86,3,1,1,3,34.375,16.0
87,3,1,0,0,8.0500000000000007,
88,1,0,3,2,263.0,23.0
89,3,1,0,0,8.0500000000000007,24.0
90,3,1,0,0,8.0500000000000007,29.0
91,3,1,0,0,7.8541999999999996,20.0
92,1,1,1,0,61.174999999999997,46.0
93,3,1,1,2,20.574999999999999,26.0
94,3,1,0,0,7.25,59.0
95,3,1,0,0,8.0500000000000007,
96,1,1,0,0,34.654200000000003,71.0
97,1,1,0,1,63.3583,23.0
98,2,0,0,1,23.0,34.0
99,2,1,1,0,26.0,34.0
100,3,0,0,0,7.8958000000000004,28.0
101,3,1,0,0,7.8958000000000004,
102,1,1,0,1,77.287499999999994,21.0
103,3,1,0,0,8.6541999999999994,33.0
104,3,1,2,0,7.9249999999999998,37.0
105,3,1,0,0,7.8958000000000004,28.0
106,3,0,0,0,7.6500000000000004,21.0
107,3,1,0,0,7.7750000000000004,
108,3,1,0,0,7.8958000000000004,38.0
109,3,0,1,0,24.149999999999999,
110,1,1,0,0,52.0,47.0
111,3,0,1,0,14.4542,14.5
112,3,1,0,0,8.0500000000000007,22.0
113,3,0,1,0,9.8249999999999993,20.0
114,3,0,0,0,14.458299999999999,17.0
115,3,1,0,0,7.9249999999999998,21.0
116,3,1,0,0,7.75,70.5
117,2,1,1,0,21.0,29.0
118,1,1,0,1,247.52080000000001,24.0
119,3,0,4,2,31.274999999999999,2.0
120,2,1,2,0,73.5,21.0
121,3,1,0,0,8.0500000000000007,
122,2,1,1,0,30.070799999999998,32.5
123,2,0,0,0,13.0,32.5
124,1,1,0,1,77.287499999999994,54.0
